Material,count
"1.68,48.2",2
"1.62,38.1",2
"1.62,57.1",2
"1.52,69.6",2
E-F1,2
BAC5,2
LASFN4,2
K-SFLD4,2
E-BAF12,2
E-SF7,2
E-BAK4,2
"1.55,55.0",2
E-SK10,2
P-SK57_MOLD,2
S-TIH4,2
BAFL2,2
LASFN13,2
N-SF6,2
"1.46,69.6",2
"1.90,40.5",2
"1.78,25.9",2
"1.63,35.6",2
S-FPL52,2
"1.68,41.9",2
M-BACD12,2
N-ZK7,2
KZFS7A,2
"1.62,58.6",2
"1.73,51.1",2
FPL51,2
"1.80,28.4",2
"1.79,47.1",2
"1.72,52.1",2
"1.60,64.4",2
FD11,2
NBFD12,2
NBFD11,2
"1.63,35.3",2
"1.55,45.4",2
"1.68,32.2",2
E-FD10,2
J-SF11,2
N-SK4,2
L-LAH87,2
N-LAF35,2
N-BAK2,2
LAFN3,2
LLF7,2
"1.65,56.2",2
"1.79,45.7",2
"1.80,41.0",2
"1.58,46.4",2
"1.62,36.4",2
S-LAM58,2
LAL14,2
"1.59,61.0",2
N-LAK14,2
"1.62,60.5",2
N-BAF10,2
N-LAK22,2
"1.43,95.3",2
"1.79,45.3",2
"1.64,60.1",2
"1.74,52.7",2
"1.93,20.9",2
"1.69,53.1",2
"1.83,37.1",2
"1.52,63.5",2
"1.51,81.6",2
J-LASFH13,2
BACD5,2
J-SF15,2
5013X16,2
"1.61,26.0",2
"1.69,31.0",2
"1.66,57.3",2
"1.63,39.1",2
"1.67,48.4",2
E-ADF10,2
MP-PCD51-70,2
"1.53,56.5",2
LAFN10,2
LF1,2
B270,2
J-F16,2
BAFD7,2
"1.60,65.4",2
N-BALF4,2
"1.67,42.0",2
"1.90,35.7",2
NBFD10,2
BACD14,2
FD15,2
330R,2
BAFD8,2
"1.56,61.1",2
KZFSN4,2
BK1,2
KF5,2
LAC13,2
"1.54,47.4",2
M-TAF31,2
E-K3,2
N-PSK57,2
N-SF14,2
GFK70,2
LASF32,2
H-FK61,2
H-ZF52,2
E-LASFH6,2
E-FKH2,2
"1.92,24.0",2
"1.88,37.2",2
"1.59,35.4",2
S-LAM61,2
S-TIL6,2
S-LAL59,2
"1.99,16.5",2
"1.56,60.7",2
"1.85,30.1",2
"1.85,43.8",2
S-NBH51,2
S-BAH10,2
J-LASF03,2
FL5,2
BAC1,2
LASF3,2
IRG15,2
SK2,2
N-SK18,2
"1.61,59.3",2
"1.64,48.3",2
"1.70,55.7",2
"1.76,27.1",2
"1.62,62.8",2
"1.72,55.1",2
FD60,2
E-FD5,2
J-SK10,2
"1.64,55.3",2
"1.59,58.2",2
"1.62,63.5",2
"1.52,64.6",1
"1.67,47.1",1
"1.72,32.0",1
"1.65,38.0",1
"1.46,90.3",1
"1.91,21.9",1
"1.83,39.1",1
"1.90,34.6",1
"1.60,20.8",1
"1.85,40.4",1
"1.54,61.8",1
"1.52,54.4",1
"1.77,50.0",1
"1.57,56.1",1
"1.57,50.8",1
"1.63,23.4",1
"1.51,56.8",1
"1.80,24.3",1
"1.47,61.7",1
"1.86,23.8",1
"1.77,26.6",1
"1.54,60.0",1
E-LASFH9,1
H-LAFL5,1
J-SF14,1
E-FEL6,1
K-LASFN7,1
PBH13,1
FEL6,1
"1.85,40.5",1
LAK16A,1
N-LAK34,1
TIFN5,1
N-LAK33,1
SFL4,1
"1.83,40.1",1
"1.68,34.8",1
"1.51,27.1",1
"1.68,31.4",1
"1.70,55.4",1
"1.69,52.7",1
"1.88,37.3",1
"1.59,60.4",1
"1.78,37.1",1
"1.78,49.7",1
H-LAK61,1
E-BAF8,1
TAFD55,1
E-SF5,1
E-LASFH13,1
E-LASFH17,1
E-F3,1
M-TAFD305,1
"1.65,31.5",1
"1.79,42.8",1
"1.52,69.7",1
"1.74,27.6",1
"1.75,52.1",1
"1.62,47.1",1
"1.72,48.7",1
"1.72,47.2",1
"1.68,55.4",1
"1.72,49.0",1
"1.84,37.5",1
"1.75,49.6",1
"1.69,55.9",1
"1.55,63.7",1
"1.71,55.5",1
"1.77,28.4",1
"1.80,41.3",1
"1.74,44.4",1
"1.70,29.6",1
"1.74,49.0",1
NBFD15-W,1
TAC8,1
LBC3N,1
"1.75,35.5",1
"1.81,39.7",1
"1.69,51.8",1
N-SK15,1
BALF5,1
KZFN1,1
"1.76,31.6",1
"1.57,42.7",1
"1.80,44.1",1
BASF12,1
"1.60,42.3",1
"1.70,25.4",1
"1.52,50.8",1
"1.53,45.9",1
"1.50,56.1",1
"1.79,47.2",1
"1.62,36.1",1
"1.61,55.5",1
LLF4,1
LF4,1
BAFL3,1
J-SF2,1
BACD11,1
BACD4,1
LACL7,1
ADF455,1
FD4,1
CF3,1
FD8,1
LACL4,1
BACED4,1
BACD15,1
"1.61,55.8",1
K50,1
H-BAK4,1
SK11,1
N-SK2,1
TAFD6,1
K4,1
LASF02,1
LACL5,1
BAF20,1
SSKN5,1
BASF64A,1
N-LAF3,1
BK4,1
SSKN8,1
LASFN31,1
"1.60,60.5",1
"1.68,44.0",1
"1.54,60.1",1
J-LASF09,1
BACED5,1
ZNC7,1
"1.75,47.2",1
"1.52,64.5",1
LAFN7,1
"1.52,59.8",1
"1.67,55.4",1
"1.73,40.3",1
"1.61,58.8",1
"1.55,62.8",1
"1.52,54.5",1
"1.68,57.5",1
"1.79,25.5",1
"1.33,53.9",1
"1.61,40.3",1
"1.52,70.0",1
"1.67,57.5",1
"1.81,25.3",1
"1.87,39.8",1
"1.79,46.5",1
"1.52,64.4",1
BASF56,1
E-LAF05,1
PC2,1
BAF7,1
H-ZF11,1
BASF5,1
744449.0,1
515546.0,1
"1.61,57.4",1
"1.46,67.8",1
"1.53,48.6",1
"1.77,49.3",1
"1.59,68.0",1
BAFD5,1
N-SSK5,1
PC3,1
"1.80,28.6",1
"1.65,38.2",1
"1.62,57.0",1
"1.62,54.0",1
"1.76,46.2",1
"1.62,60.7",1
"1.62,49.6",1
"1.70,0.0",1
"1.66,56.2",1
D-LAK70_MOLD,1
"1.62,56.7",1
"1.79,47.3",1
"1.80,44.5",1
"1.52,51.1",1
"1.50,66.0",1
"1.68,44.6",1
FL7,1
LAC9,1
NBFD8,1
BACD2,1
BACED1,1
"1.64,34.7",1
"1.54,46.8",1
"1.58,41.4",1
S-YGH52,1
"1.64,55.8",1
"1.68,32.3",1
"1.73,38.0",1
"1.61,38.0",1
"1.52,56.8",1
"1.68,50.8",1
FD5,1
J-K3,1
SFL56,1
S-BSM22,1
N-LAK12,1
K26R_25,1
M-TAF105,1
S-LAL52,1
S-TIM39,1
740282.0,1
511605.0,1
672322.0,1
569631.0,1
677555.0,1
603607.0,1
699301.0,1
N-BAK4,1
E-SFS3,1
NBFD40,1
H-LAF6L,1
BAF12,1
ZKN7,1
H-LAK3,1
E-BACD10,1
E-FL5,1
TIH14,1
PBL25,1
NBFD5,1
BAM25,1
S-TIM5,1
BAF13,1
H-LAK2,1
LAKN6,1
"1.60,42.5",1
"1.51,50.9",1
"1.64,35.3",1
"1.66,35.8",1
"1.52,51.5",1
"1.62,55.1",1
PHM51,1
BSM36,1
"1.71,43.3",1
"1.64,55.7",1
"1.76,29.7",1
"1.88,41.0",1
"1.46,35.7",1
"1.68,49.0",1
"1.46,65.0",1
"1.59,34.8",1
"1.61,55.9",1
"1.61,49.3",1
"1.83,42.8",1
"1.79,25.6",1
LASKN3,1
BAF22,1
TAC1,1
J-LAF04,1
"1.59,41.1",1
"1.68,0.0",1
"1.72,0.0",1
"1.78,0.0",1
"1.64,0.0",1
"1.74,0.0",1
"1.62,49.8",1
"1.59,35.2",1
"1.56,43.8",1
"1.72,42.1",1
"1.61,55.0",1
"1.64,58.4",1
"1.52,58.4",1
"1.53,62.1",1
"1.50,65.1",1
"1.64,45.1",1
S-BAH11,1
LASKN1,1
LAF13,1
"1.65,56.1",1
"1.64,60.3",1
"1.72,48.0",1
"1.73,28.7",1
"1.74,41.6",1
LAF20,1
E-FD8,1
J-LAK13,1
PBL22,1
S-TIM6,1
FCD10,1
E-KZFH1,1
J-BASF2,1
"1.67,46.9",1
"1.61,59.8",1
"1.62,46.8",1
"1.62,53.0",1
PBM5,1
PBM8,1
S-TIH3,1
J-F8,1
"1.57,42.5",1
"1.72,50.1",1
"1.70,29.8",1
"1.76,27.3",1
"1.72,47.7",1
"1.49,69.9",1
"1.63,38.8",1
"1.70,34.6",1
K-PG375,1
LF8,1
M-LAC8,1
S-TIM8,1
J-LF5,1
LAFN12,1
"1.55,45.5",1
"1.81,40.4",1
"1.67,39.3",1
SF13,1
J-K5,1
713539.0,1
595355.0,1
651585.0,1
620362.0,1
797453.0,1
"1.52,70.1",1
"1.74,27.5",1
"1.74,47.9",1
"1.59,51.2",1
"1.70,48.0",1
"1.57,63.2",1
"1.57,49.5",1
"1.49,69.8",1
BAH77,1
"1.75,34.9",1
"1.60,40.8",1
"1.62,61.2",1
"1.74,37.5",1
"1.83,36.5",1
"1.75,27.4",1
"1.70,47.9",1
PBH53,1
S-BAL50,1
FF8,1
J-LAF2,1
H-LAF52,1
LAFN11,1
"1.80,28.5",1
S-LAH55,1
"1.79,28.6",1
"1.84,43.4",1
519700,1
797454,1
"1.00,0.0",1
"1.67,45.8",1
"1.54,73.0",1
"1.57,55.8",1
E-LAK13,1
623471.0,1
640600.0,1
797454.0,1
805255.0,1
713540.0,1
E-LF7,1
BPM4,1
"1.61,43.9",1
"1.72,50.4",1
K-FK5,1
K-SFLD6,1
S-LAL10,1
S-BSM10,1
N-LLF1,1
FC3,1
804339.0,1
J-LAF01,1
"1.58,41.3",1
"1.64,47.8",1
"1.67,45.0",1
"1.78,25.6",1
"1.57,63.1",1
"1.66,55.0",1
N-BK10,1
J-LASF013,1
E-BASF6,1
E-FD15,1
E-LAK8,1
LAF70,1
"1.51,81.4",1
"1.64,56.1",1
"1.63,34.6",1
"1.68,31.2",1
840434,1
589611,1
713539,1
J-LAFH3,1
TAF1_MOLD,1
VC78_MOLD,1
"1.62,0.0",1
"1.75,52.4",1
"1.62,52.7",1
M-BACD5N,1
FD10,1
BAC4,1
"1.90,34.3",1
"1.76,49.2",1
"1.84,30.4",1
"1.56,48.5",1
"1.58,53.0",1
"1.61,43.0",1
"1.75,44.5",1
"1.69,49.6",1
"1.74,26.2",1
"1.62,58.4",1
S-BAH32,1
E03-47,1
SF57HHT,1
S-LAM60M,1
B16-64,1
H-QF56,1
TAF5,1
C41-60,1
S-TIL27,1
S-LAM54,1
H-ZLAF55,1
H-ZF50,1
J-FK01,1
J-F1,1
H-ZLAF66,1
L-LAM69M,1
"1.74,40.8",1
"1.50,56.3",1
"1.70,53.6",1
"1.54,59.6",1
"1.50,65.2",1
"1.68,47.2",1
J-LAK09,1
E-LAK02,1
"1.60,37.8",1
"1.60,59.5",1
"1.56,47.0",1
"1.65,57.8",1
"1.67,32.9",1
"1.75,44.7",1
"1.57,63.0",1
"1.73,28.1",1
"1.73,54.8",1
"1.52,16.5",1
H-ZLAF76,1
MC-TAFD307,1
J-LF6,1
TAF3_MOLD,1
J-SK14,1
N-LASF46,1
"1.70,34.7",1
"1.70,53.2",1
"1.82,45.2",1
"1.84,30.0",1
"1.51,59.8",1
"1.53,46.0",1
"1.59,35.8",1
"1.51,61.9",1
"1.69,0.0",1
"1.56,58.3",1
"1.61,55.1",1
"1.56,45.3",1
"1.61,56.3",1
"1.52,63.6",1
"1.71,40.9",1
"1.70,38.4",1
"1.51,60.6",1
"1.57,41.3",1
"1.66,57.7",1
"1.69,54.1",1
"1.69,54.0",1
"1.73,28.0",1
"1.51,56.5",1
"1.65,58.4",1
"1.64,58.1",1
"1.70,54.7",1
"1.66,57.1",1
"1.59,34.3",1
MC-TAFD305,1
N-BK7_MOLD,1
LAK33,1
Q-LAK52S,1
N-K5,1
LAK23,1
N-SF57HT,1
SF64A,1
"1.50,66.7",1
"1.57,57.5",1
"1.62,53.3",1
"1.72,29.3",1
J-SF8,1
K-LAK8,1
J-BAK4,1
S-NBH53,1
L-LAH90,1
M-LAC130,1
"-1.42,0.0",1
H-LAF50B,1
J-PSK03,1
D-LAK6,1
D-LAK6M,1
BK7HT,1
"1.55,37.6",1
SF57HT,1
CD120,1
"1.58,64.2",1
"1.73,54.0",1
N-PK52A,1
K-LASFN1,1
K-LAF2,1
N-LASF40,1
"1.59,62.1",1
E-LASF021,1
E-LAK7,1
"1.55,71.5",1
"1.61,44.4",1
"1.85,40.0",1
"1.55,71.7",1
S-LAM7,1
S-LAH79,1
"1.80,34.9",1
"1.92,23.9",1
"1.76,52.3",1
"1.00,64.2",1
"1.71,29.5",1
"1.85,42.7",1
"1.48,70.4",1
"1.75,28.3",1
"1.85,22.7",1
"1.49,81.6",1
J-SFH1,1
S-LAM51,1
J-LASF010,1
H-LAK51,1
H-ZF72,1
"1.83,44.7",1
"1.90,29.3",1
"1.51,61.1",1
"1.70,17.7",1
"1.64,22.7",1
"1.76,16.1",1
SF19,1
E65-40,1
N-LAK7,1
SK12,1
LAKN12,1
E-BASF2,1
NBF1,1
BASF54,1
J-BK7,1
"1.55,42.7",1
E-LASFH15,1
"1.76,15.0",1
K-GFK68,1
H-LAF3,1
L-TIM28_MOLD,1
L-TIH53,1
FD140,1
E-SK18,1
E-LAF02,1
TAC4,1
E-SK15,1
J-SK18,1
H-ZLAF56,1
H-ZLAF50B,1
H-LAF50A,1
P-SK5S,1
H-ZLAF53,1
TAC2,1
M-LAF81,1
"1.70,27.8",1
"1.68,54.8",1
"1.73,28.4",1
"1.86,32.3",1
"1.93,24.0",1
"1.58,53.7",1
"1.90,20.4",1
"1.62,53.2",1
"1.77,53.0",1
"2.00,29.3",1
"1.95,17.9",1
"1.65,53.0",1
"1.66,26.9",1
"1.77,47.2",1
"1.70,31.2",1
"1.63,59.3",1
J-LAK18,1
J-LASFH15,1
"1.51,56.6",1
"1.75,27.6",1
"1.65,21.5",1
"1.67,55.2",1
"1.76,26.0",1
"1.74,51.7",1
S-BSM4,1
K-LAK18,1
OKP4HT,1
N-KF9,1
PBH56,1
S-BAH28,1
L-NBH54,1
J-KF6,1
"1.80,29.9",1
"1.52,64.3",1
"1.51,58.9",1
"1.81,0.0",1
"1.83,0.0",1
"1.57,70.1",1
"1.72,34.6",1
"1.56,71.2",1
"1.76,24.9",1
"1.82,42.7",1
"1.67,31.1",1
"1.52,48.8",1
"1.54,56.0",1
"1.61,58.5",1
"1.67,38.2",1
"1.75,25.0",1
"1.68,31.6",1
"1.69,53.0",1
"1.58,59.0",1
"1.76,51.2",1
"1.58,59.1",1
"1.87,28.7",1
"1.71,53.2",1
"1.80,45.1",1
"2.05,26.9",1
"1.95,0.0",1
"1.73,57.7",1
"1.69,49.2",1
"1.75,54.7",1
"1.53,56.3",1
"1.58,30.2",1
"1.59,68.3",1
